census_age_group,prop,prop_unique
0-4,0.09070011620077065,0.14406954693662302
10-14,0.14490702648780474,0.22745482338882947
15-19,0.17006589643986703,0.26334150865287326
20-24,0.18219807963025744,0.2739977446620155
25-29,0.1799883309070106,0.2675503051764669
30-34,0.1662276453774506,0.24769644848223654
35-39,0.13856525140264747,0.2070361339646683
40-44,0.10766840135213647,0.1597788987223246
45-49,0.07419122335593772,0.10954350066394357
50-54,0.04186947992553138,0.061582336822301714
55-59,0.01749756130104216,0.025587933220338324
5-9,0.11646576212352037,0.18355133785064429
60-64,0.00446709573618949,0.006529519288181662
65-69,6.463578395291349e-4,9.483457366633558e-4
70-74,9.901256746716348e-5,1.4065852947696408e-4
75+,4.195886131567156e-5,5.371630695322121e-5
